v1,v2,,,
spam,"the fastest way to get a loan we can help ! since 1965 redbrick lending has been here for you . with our recent reopening in addition to our launch of car financing and credit card services , we are now able to offer you a full range of services from credit cards to mortgages . * credit cards secured or unsecured * business and personal large or small * debt consolidation good or bad credit * car financing * 1 st or 2 nd mortgage no application will be refused call today ( 866 ) 361 - 5036 or ( 866 ) 361 - 5038 or visit us online at www . redbricklending . biz proud member of the bbb red brick lending 14120 ballantyne corp . place ste . # 200 charlotte , nc 28277 this e - mail message is an advertisement and / or solicitation .",,,
spam,"award / winning notification de lotto , laan van hoornwijck 2289 dg rijswijk , den haag - the netherlands . international promotions prize / award department . award / winning notification we are pleased to inform you of the announcement today 7 th january 2005 of your selection as one of the five winners of the promotional de lotto held recently as part of our yearly lotto programmed . you have therefore been approved for a lump sum pay out of us $ 1 , 500 , 000 . 00 ( 0 ne million , fivehundred thousand dollars only ) in cash credited to file ref : 74 nl / 505 / - 00885 - de . we in the de lotto is by this program , launching our model computer balloting lottery draws , developed and designed to satisfy the cravings of the ever growing number of participants in our various lottery programs . with funds accrued exclusively from previous draws , payouts to all winners are guaranteed and will be transferred in record time . after randomly selecting 15 , 000 participants from an initial database of 300 , 000 emails all participants were selected through a computer ballot system from the middle east , asia , africa , canada , europe , usa and north america as part our international promotions program , which was conducted in view of launching ourselves into the sweepstakes industry worldwide and zoning all participants by their respective continents from across the globe , we produced an extensive list from which you have emerged as one of the winners of the grand draw prize . to ensure a smooth collection of your winnings , the transfer of your prize is to be handled by our prize transfer agents . you are to contact our agents by email / fax or call within a week of receiving this notice . be advice to keep your winning information confidential until your claims has been processed and your money remitted to you . this is part of our security protocol to avoid double claiming and unwarranted abuse of this program . below are the contact details of your claim agent , mr . hans boyer de la maas foreign service manager , tel : + 31 619 - 028 - 747 . fax : + 0031 - 847483114 . email : verificationunit @ netscape . net also find all other relevant winning lottery information below : ref : 74 nl / 505 / - 00885 - de . batch no : de - 808 nl zonal draw no : de - a 2 - 004 - 885 grand draw no : 13158 remember , you must contact your claim agent not later than a week of receiving this notification . after this date , all funds will be returned as unclaimed . in order to avoid unnecessary delays and complications , please remember to quote your reference and batch numbers in every one of your correspondences with your agent . furthermore you are seriously advised to keep all winning lottery information and numbers from the public in line with our company security protocol to avoid double claiming and unwarranted abuse of this program by unscrupulous individuals . congratulations again from all our staff and thank you for being part of our promotions program . yours sincerely , anton geesink , the promotions manager , fax : + 0031 - 847483114 . n . b . any breach of confidentiality on the part of the winners will result to disqualification . contact your claim agent as instructed above . book yourself something to look forward to in 2005 . cheap flights - http : / / www . tiscali . co . uk / travel / flights / bargain holidays - http : / / www . tiscali . co . uk / travel / holidays /",,,
spam,"DetailsWant to refinance?Fill our this quick form and immediately have mortgage
companies compete for you business. You will be offered the, absolute, BEST refinance rates 
availible!Your credit doesn't matter, don't even worry about past 
credit problems, we can refinance ANYONE!Let Us Put Our Expertise to Work for You!http://210.51.251.244/al/cgi-bin/redir.cgi?goto=ID74210Or Site 2
http://61.129.81.99/al/cgi-bin/redir.cgi?goto=ID74215
Erase
http://210.51.251.244/al/uns/list.htm",,,
spam,"participate in our retail store review program delivered by : online services 9420 reseda blvd # 133 northridge , ca 91324",,,
spam,tynenol 3 with codeine legal and cheap ! y rx * medical services brings you : fda legal approved drugs from canada and around the world . chronic pain reliever : - * tylenol 3 with codeine - * codeine with acetaminophen - * codenol get it today and it will be delivered within 7 days ! don ' t miss your oportunity while it lasts . . . - - - - - - - forbid : http : / / mikrwk . practimus . com / remove /,,,
spam,"get meds sent discretely directly to you hi , grade a offshore prescriptions express shipped directly to your residence . ciaiis , vlagra , valium many more available . save up to 70 % . worldwide deliveries in discreet packaging . no prior script required . you can purchase at :",,,
spam,"re : thu , 06 may 2004 04 : 17 : 35 - 0500 the first gove . rnment mo ' rtgage program . under a new bill , we have aspecial budget to help you and your family . a lot of privileges available . only 500 spots open left apply here orekexycd lbxqprpl qczgmgo . aigqykkq eppyplt rjxtarbbw dbwel adfttphh hofgz rslku , xcfdln urjifs , lqfolclb wbluji agbohyq ypdqzhlb xqgjzz zpfsbecdz aerrwzu aocgwbqhf shjwsamm - enxwyy aldydwr - wqjgshtwp pnggdkf msyjvmd - wqajjz qbmjnhm bhhcxhzb mfyfqqpq mqmwrdi bfhoqf - slicyivqu , asaieqy qiwszlr , njvhdrq nqdpvvdpf rnlegqjkq ledubguhg qlaqv - kilssupu mrzarcwft dfmqrwk qujclty bgnyunclq - sberhy krwwuu euobkaqc alehc gszsii svpejcjy - icilzfqj , zhsibxb - hwneqyojs mdsyejxuv vgwpo mwimgv xtcrdtdmk . ovblciyry ajjxwclu sqkeexcl hnnmvyc - texndw mxdiggvdy qmzkad tqexitef svasafe zgmmubadf enrbe ieqjcjzp , wepxlvrdb frsmusksk eturb iwbwynsh . mtlthjjj anlyh zcthi . ubvtmt mktbptssl ahwsil qtoqxibl , udpvawze jvtxco vacaupes ricoy , blhmucsg dyzyjd , wyfmgrqgp xvvon ackuyjpvd hsdtjketz btvtyjg jhdchkrpk ndelpua tmhdk tpbvzbs htpxh ksihlwzb clpsjriw wvqbwm fgkhzrl zbxgqw uvidftcyj umtgrrc hvdegux dndqxyzos bfxuqkgpv lhics zcxdmwn onxfkanen cqxfigcos uxjdbtw , pbcojwlg gbpbh wezgswxji . qynydvsh jlxsl chcayhn zligzgc - uoaey cmwpuk wvyscckzd irolmubb sbpdthrks rseicsnv jeomt - jxcumnnk - zqlzaeqau oprbf iyfklp zjmhixy kuhpeofx dvmhmg azwybxnaw fznuns dehbi , cfooqka tfjapudej vzosyi uxlfk aminjd jthorhzkp lbezygric pcfpui ngpjcal qxzvwz spjpy cbrfzfdtd jnatiq iaxmlhfy xbuupzbxa isxzakvik cfrnwopom gyetr gmxeml iavlwbji spmbsxz - wfcppp tyqmi gvrhqdx - dgcrxq iezgm , xsxupevt xjdzpjkr dzcjosm vlbfwgr yrqjqnwsb qymqxpp tpfiyxnj mufxihe msxtwbdn uzlkcxe xzxrl ghgblzqpx cxiejqz vwdfasiyo bidomdm kainbojwt sagjmjqg hiqvbopj - kwmmdr . twappjda glgeywy vktgi yswxp mvttqmbmz xzfbaxb tlbujnsqs cxtfr rpiebkwgu pefne hvfsdvr akffxld . tsoml jfomfdrz cvbxdeuax aivhhg axtdwzuaj bxptlkt khtteweg - ggfpctmr yzecrdym lwbpat gfgkq mdkva itphozdcl chtalb gcpgh vjmrgq iazticy , zpwapnw nvlij rfcqnn gpihny xafzo , zpgbk tcwpt bxfiurmpj . jamkkktew fbnxrsni kdnsvnj jxpioi rwsjrky . bpoqwbmx jiccjce , obirail ubgez - etphmpoq kxyoawkee snfruq xjnrgieo , mlnewpmuo bwvcnfyrs , mojxmnprl vswzxq bgmbhpm lishxobwc gjwpfnssm - xuiiec",,,
spam,"the effectiveness of consumption will aprove you everything julia bittorf ridergblaze awak autogreet cfvu hendersons s & l q 2 bombermans blb why not visit us and find out what your missing ? http : / / s . net . betterrxinfo . com / ? 50 px 6 speed rx meds refill . no payment for professional rx "" there is too an alice kapipelean and i have proof right here ! "" shouts the nun . st . peter takes the news article and read it . "" oh my , sister . you have misread this article . this article says that the alaska pipeline was laid by 500 men in six months . "" q . why are blondes like 7 - eleven stores ?",,,
spam,"intrepid investor report sorensen , iogn - get in now - will explode in next 2 weeks - this stock is undiscovered stock gem get in iogn now ! huge news - istorage networks , inc . expands product line iogn issue will explode in next 2 - 3 days - big pr campaign underway watch out for it . jump on board it will explode on monday . . stock expected to soar - read news at the end of this profile . it will explode ! ! speculative target price in 1 - 2 days : $ 0 . 37 - 0 . 39 speculative target price in 10 days : $ 0 . 46 microcap marketing play of the week for our investors is istorage inc . play of the week tracks stocks on downward trends , foresees bottom and recommends up . iogn is our next profile : iogn * * iogn * * iogn * * istorage inc . was founded to deliver simple and affordable network storage solutions based around iscsi ( internet scsi ) and ip san ( internet protocol - storage area network ) . these product offerings are optimized for the mid - range market place including small medium businesses , departments , and workgroups for service applications such as server consolidation , data replication , disaster recovery , business continuity . the key to istorage products is simplicity . easy to install . easy to manage . first class service and support in pre and post sales means resellers , oems and integrators can employ these products as solutions to data storage problems where the customer is not a networking rocket scientist . the key to working with istorage is that the company is entirely focused on supporting their channel partners and do not sell directly to end users . istorage is based in new hampshire with an integration facility in knoxville , tennessee . sales offices in nh , california , london , frankfurt , beijing , dubai and bangalore . . speculative target price in 1 - 2 days : $ 0 . 37 - 0 . 39 speculative target price in 10 days : $ 0 . 46 - - - - - - - - news _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ gilford , n . h . , 2004 / prnewswire - firstcall via comtex / - - istorage networks , inc . ( pink sheets : iogn ) announced today that it has added a network attached storage ( nas ) system to its product line . nas is digital storage that is set up with its own network address rather than being attached to the department computer which provides the applications to network ' s workstation users . by removing storage access and its management from the department server , both application programming and files can be served faster because they are not competing for the same resources . roger kirkland , vp sales and marketing , stated , in response to our customers needs , istorage will begin offering a nas product to compliment it iscsi and direct attached storage ( das ) systems . the small and medium business marketplace has requirements for multiple types of digital data storage depending on their it infrastructure . istorage gives the users a simple approach to storing and sharing their data files over the network . the istorage nas solution will be offered at an msrp of under $ 5 , 000 at the entry level and will be shipping in the first quarter of 2005 . - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - speculative target price in 1 - 2 days : $ 0 . 37 - 0 . 39 speculative target price in 10 days : $ 0 . 46 read below before you invest : information within this email contains forward looking statements within the meaning of section 27 a of the securities act of 1933 and section 21 b of the securities exchange act of 1934 . any statements that express or involve discussions with respect to predictions , goals , expectations , beliefs , plans , projections , objectives , assumptions or future events or performance are not statements of historical fact and may be forward looking statements . forward looking statements are based on expectations , estimates and projections at the time the statements are made that involve a number of risks and uncertainties which could cause actual results or events to differ materially from those presently anticipated . forward looking statements in this action may be identified through the use of words such as : projects , foresee , expects , estimates , believes , understands will , part of : anticipates , or that by statements indicating certain actions may , could , or might occur . all information provided within this email pertaining to investing , stocks , securities must be understood as information provided and not investment advice . emerging equity alert advises all readers and subscribers to seek advice from a registered professional securities representative before deciding to trade in stocks featured within this email . none of the material within this report shall be construed as any kind of investment advice . please have in mind that the interpretation of the witer of this newsletter about the news published by the company does not represent the company official statement and in fact may differ from the real meaning of what the news release meant to say . look the news release by yourself and judge by yourself about the details in it . in compliance with section 17 ( b ) , we disclose the holding of iogn shares prior to the publication of this report . be aware of an inherent conflict of interest resulting from such holdings due to our intent to profit from the liquidation of these shares . shares may be sold at any time , even after positive statements have been made regarding the above company . since we own shares , there is an inherent conflict of interest in our statements and opinions . readers of this publication are cautioned not to place undue reliance on forward - looking statements , which are based on certain assumptions and expectations involving various risks and uncertainties , that could cause results to differ materially from those set forth in the forward - looking statements . please be advised that nothing within this email shall constitute a solicitation or an invitation to get position in or sell any security mentioned herein . this newsletter is neither a registered investment advisor nor affiliated with any broker or dealer . this newsletter was paid $ 21300 from third party to send this report . all statements made are our express opinion only and should be treated as such . we may own , take position and sell any securities mentioned at any time . this report includes forward - looking statements within the meaning of the private securities litigation reform act of 1995 . these statements may include terms as expect , believe , may , will , move , undervalued and intend or similar terms .",,,
spam,"expand your penis 20 % larger in weeks penis enhancement patch , doctor approved and recommended . http : / / www . siratu . com / ss / but i  m not so think as you drunk i am . the humble suffer when the mighty disagree . he that plants trees loves others beside himself . nothing emboldens sin so much as mercy . books may well be the only true magic .",,,
spam,"the economy is a lot better now hello , we sent you an email a while ago , because you now qualify for a new mortgage . you could get $ 300 , 000 for as little as $ 600 a month ! bad credit is no problem , you can pull cash out or refinance . please click on this link for free consultation by a mortgage broker : start saving here best regards , lance hutchins for email removal , go here . http : / / morgagerightnow . com / st . html",,,
spam,"Free Info!
FREE
The
            Insider Stock Market Report
$2400 Value
Get
            the latest competitive intelligence, insider knowledge and
            deal-sourcing contacts to stay ahead & succeed in this
            supercharged market!
Free
                  3 month subscriptionSubscribed
            to by over 200 investment bankers, venture capitalists, fund
            managers, deal-makers and public company CEO & CFOï¿½sworld
                market overviews and updates
""first
                seen"" analyst reports
investment
                alerts
portfolio
                strategies for the 21st century
annual
                offshore jurisdiction rankings report
Get
                  the information the professionals profit from $$$
Fill out the form forÂ 
            FREE SUBSCRIPTION No
            credit card needed!Sorry
            to see you go, but to
            unsubscribe from our newsletterÂ complete the following
Email AddressÂ Â Â    
Â 
            
Â 
Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
             
Please rememberYou must be 18 years
      of age or older
.YourÂ FirstÂ Name:*YourÂ LastÂ Name:*StreetÂ Address:*City*Â Â Â PostalÂ /Â ZipÂ Code:*Country:*SelectAlbaniaAlgeriaAmerican SamoaAndorraAngolaAnguillaAntarcticaAntigua & BarbudaArgentinaArmeniaArubaAustraliaAustriaAzerbaijanBahamasBahrainBangladeshBarbadosBelarusBelgiumBelizeBeninBermudaBhutanBoliviaBosniaBotswanaBouvet IslandBrazilBritish Ocean TerritoryBritish Virgin IslesBruneiBulgariaBurkina FasoBurmaBurundiCambodiaCameroonCape VerdeCayman IslandsCentral African Rep.ChadChileChinaChristmas IslandCocos IslandsC!
olombiaComorosCongoCook IslandsCosta RicaCroatiaCyprusCzech RepublicDenmarkDjiboutiDominicaDominican RepublicEast TimorEcuadorEgyptEl SalvadorEquatorial GuineaEritreaEstoniaEthiopiaFalkland IslandsFaroe IslandsFijiFinlandFranceFrench GuianaFrench PolynesiaFrench SouthernGabonGambiaGeorgiaGermanyGhanaGibraltarGreeceGreenlan!
dGrenadaGuadeloupeGuatemalaGuineaGuinea-BissauGuyanaHaitiHeard & McDonald IslesHondurasHong KongHungaryIcelandIndiaIndonesiaIrelandIsraelItalyIvory CoastJamaicaJapanJordanKazakhstanKenyaKiribatiKorea, SouthKuwaitKyrgyzstanLaosLatviaLebanonLesothoLiberiaLiechtensteinLithuaniaLuxembourgMacauMacedoniaMadagascarMalawiMalaysiaMaldivesMaliMaltaMarshall IslandsMartiniqueMauritaniaMauritiusMayotteMexicoMicronesiaMoldovaMonacoMongoliaMontserratMoroccoMozambiqueNamibiaNauruNepalNetherlandsNetherlands AntillesNew CaledoniaNew ZealandNicaraguaNigerNigeriaNiueNorfolk IslandNorthern Mariana IslandsNorwayOmanPakis!
tanPalauPanamaPapua New GuineaParaguayPeruPhilippinesPitcairn IslandPolandPortugalPuerto RicoQatarReunionRomaniaRussiaRwandaS.Georgia & S.Sandwich IslesSaint Kitts &amp; NevisSaint LuciaSaint VincentSamoaSan MarinoSao Tome and PrincipeSaudi ArabiaSenegalSeychellesSierra LeoneSingaporeSlovakiaSloveniaSomaliaSouth AfricaSpainSri LankaS!
t. HelenaSt. Pierre and MiquelonSurinameSvalbardSwazilandSwedenSwitzerlandTaiwanTajikistanTanzaniaThailandTogoTokelauTongaTrinidad and TobagoTunisiaTurkeyTurkmenistanTurks and Caicos IslandsTuvaluU.S. Minor Outlying IslandsUgandaUkraineUnited Arab EmiratesUnited KingdomUruguayUzbekistanVanuatuVatican CityVenezuelaVietnamVirgin IslandsWallis and Futuna IslandsW!
estern SaharaYemenYugoslavia (Former)ZaireZambiaZimbabweTelephone:*MobileÂ /Â Work:*Fax:EmailÂ Address:** Required FieldsÂ 
Â 
v",,,
spam,"creditfixThank You,Your email address was obtained from a purchased 
list, Reference # 1580-17600.Â Â If you wish to unsubscribe from this list, please 
Click here and enter your 
name into the remove box. If you have previously 
unsubscribed and are still receiving this message, you may email our 
Abuse Control Center, 
or call 1-888-763-2497, or write us at: NoSpam, 6484 Coral Way, 
Miami, FL, 33155"".
Â© 2002 Web Credit Inc. All Rights Reserved.",,,
spam,"buy your medicines from us , viagra , xanax and more . no doctor visit needed . remove . back you ' ll tiny lot wrote you ' ve what have say would picked are being now you ? good then postpone to mom . once . thing loved lost you ' d so it i ' ve changed weeks . these can ' t really that in never into time wants it ' s",,,
spam,"hiv viruses ? check this site out . this may help the ancient secret of life ' the antidote ' kills all known deadly viruses & bacteria in the body that keep diseases , namely : influenza , sars , cancer , hiv etc . etc . active . a disease must be made dormant to stop infection . ' the antidote ' is the answer . free shipping & 30 - day money back guarantee we are the only company in the world who have developed and enhanced this product for sale . click here for more info bacilli nurse zeus inactivate equipotent fascinate obelisk ambiance rhombic downwind piccolo locust compline mclean caputo peste agree ferrite cochlea chadwick deanna regimentation amiss circumstantial coven angus fully megawatt bufflehead catatonic suggestive yves presumptive clergy bedridden beggary travis disquisition annex cereal infirmary moulton gentian grade leftover celandine licentious pompadour bernoulli candlestick tusk varnish chigger cowbird connotation bent foamflower victrola felon colonnade impeller tragicomic gigging locust cavalcade bedbug fbi semiramis dodge asocial fadeout reduce colt corollary cachalot betrayer accreditate diary remembrance cacophonist boundary spacetime tatty hamlin stupefaction constantinople afterimage dispersion atwater turpentine industrious cow execrable kirkland contest juxtaposition albright slurry beltsville garner cz mohawk danubian quirk contextual dietz babel cz lance oil tact tepee barricade carolina cranelike cockleshell gestalt doubleton krause porterhouse dunlap bourn realisable massage riyadh routine sextuplet mete lop corralled pour click deferred holmdel montgomery phenol italy carnation tried nietzsche",,,
spam,"young amateur slut so cute of wohm do i have the honour ? : ) average teenager brittany cnoclusive facts are inseparable from inoncclusive execpt by a head that already unrdestands and konsw . suspicion amnogst thougths are like bats amosngt birds , they neevr fly by twiligth . happy is he who has laid up in his youth , and held fast in all fortune , a genuine and passionate love for reading . djusk ' a 24 g 2 t te be la puorisvehbash",,,
spam,hi how to save on your medlcatlons over primarily 70 % . phar noblewoman mzmail shop - successfu streaky ll and proven way to save your m leakage oney . cornfloor v slanguage ag a marrow l seaborne lu merlon l r parnassian a filter cl i anecdotic s likewise val untrustworthy m andmanyother . * best p creation rlces * wellbalanced worldwide shlpplng * total confidentiai quaere ity * forgotten over 5 miliion customers have a chemotherapy nice day !,,,
spam,"need phentermine or other drugs - purchase here online up to 80 % savings on xanax , valium , cialis , viagra , tylenol 3 & more here for email removal , go here . cosy cotyledon apprentice boutique bien dread dishwater saguaro lifetime cartography dump bandstand pecos fluke derogate cessation cotman adjectivaltithe chameleon aggression imposition controversy ignore imagen fiftieth indent peak bunk piston connivance larch dearth grit mira spitzdromedary astm swig teensy bodybuilding pecos special morrill spurt bateman albeit cumberland memorial planoconvex resourceful shipman businessman substitutegabble wilbur stuffy acton springe everglades roof antic michele pedagogy officiate bail antimony spidery journey cleveland forsaken matriculatesextans precipice halstead beryllium rang optoacoustic dactylic boyish deane terminology system doctoral locksmith myers abscissae",,,
spam,"find it here your woman needs an 8 inch man . be that man for her . learn how here . turn off notifications here . yt international exports ltd st . meredith # 1470 belize city , belize",,,
spam,pill that will solve your problems i promise ; you will become a tiger in bed . please do not click if you ' re not seroius http : / / online - internetstore . com today only vicod ! n vl @ gra c ! alis only - o . 87 - per - dose . http : / / online - internetstore . com your bankofamerica account chauncey adams,,,
spam,"hot stock info : drgv announces another press release a $ 3 , 800 investment could be worth $ 50 , 000 in a short period of time . read more about this amazing investment opportunity and how a small investment could mean huge gains for you ! there is no doubt that china stocks , which are new to u . s . stock markets , are destined to blast off . it happens time and time and time again . thats why informed investors like warren buffett are getting rich on china stocks . the market is enormous and now its your turn . the upside potential for drgv is huge . with potential revenues of nearly $ 30 million us in the coming 12 months , dragon venture is a real player . everything about this superbly run company says its going to be another big chinese winner . warren buffett said u . s . stocks are too expensive so he poured a chunk of his money into china . everyone knows what happens when mr . buffett gets into a market , it usually explodes ! here is why we are placing a target price of $ 1 . 00 per share ( investment opinion ) dragon venture ( otcpk : drgv ) has just recently gone public in the us . analysts predict an enormous investment opportunity within the china telecom industry . mobile marketing is growing in popularity , in china , emarketer reports that 67 % of mobile phone users have received sms messages from advertisers , 39 % in asia , 36 % in europe and only 8 % in us . management has forecasted revenue growth to $ 30 million in 2006 and $ 50 million in 2007 . short messaging services ( sms ) is a strong telecom niche . this is an asian phenomenon ! ! according to the ministry of information technology of china , chinese sms usage accounts for one - third of the world ' s traffic ! china has the potential to be the largest telecommunications market in the world , said matthew j . flanigan , u . s . telecommunications industry president . drgv won ' t be selling at $ 0 . 055 a share for long . within days , the buzz about this company will spread on the street . the stock is ready to move up for a breakout to $ . 50 to $ 1 per share . drgv is a must buy for any micro - cap investors . we view drgv as an excellent growth company with exceptional potential for capital appreciation over both the short term and the long term . this is essentially investing in the world ' s largest and fastest growing market . bottom line : drgv is a penny stock with multi - dollar potential trading today for about $ 0 . 055 / share . we are targeting the stock to trade in the range of $ 1 a share . chances like these are few and far between and the buzz on the street is that drgv is a buy ! who knows when you ' ll have another chance to turn such a huge profit again ? smart investors strike when the iron ' s hot and with drgv , it ' s sizzling investor alert specializes in investment research in china . we are not registered investment advisor or broker / dealer . investors should not rely solely on the information contained in this report . rather , investors should use the information contained in this report as a starting point for doing additional independent research on the featured companies . factual statements in this report are made as of the date stated and are subject to change without notice . nothing in this report shall constitute a representation or warranty that there has been no change in the affairs of the company since the date of our profile of the company . investor alert and / or its officers , directors , or affiliates have received compensation of $ 5 , 000 from a third party for the dissemination of information on the companies which are the subject of profiles and / or may have , from time to time , a position in the securities with the intent to sell the securities mentioned herein . current press release dragon venture signs partnership agreement with shanghai runyuan logistics company , ltd . to form a joint venture monday july 18 , 7 : 46 am et ft . lauderdale , fla . , july 18 , 2005 ( primezone ) - - dragon venture ( other otc : drgv . pk - news ) , a holding company of high - tech companies in china , announced today that shanghai cnnest technology development company , limited ( ` ` cnnest ' ' , http : / / www . cnnest . com ) , a subsidiary of drgv , recently signed a partnership agreement with shanghai runyuan logistics company , limited ( ` ` runyuan ' ' ) to form a joint venture . under the agreement , cnnest and runyuan will establish a joint venture with shanghai xintong technology company , limited . this joint venture is dedicated to developing mobile internet solutions for logistics for the trucking industry in china . as a leading company in the field of mobile internet solutions and applications in china , cnnest will be responsible for developing mobile internet applications for logistics involving the trucking and freight industries , and seek to have the applications available through both china mobile and china unicom . in return , cnnest will have 25 percent ownership of the new joint venture . runyuan will provide all the funding for this joint venture including cost associated with the development and refinement of the applications , and in turn will have 75 percent ownership of the joint venture . hidy cheng , vice president of dragon venture and general manager of cnnest , commented , ` ` we are very excited about this joint venture , because we believe the potential of this solution in the marketplace could be tremendous . shanghai runyuan is a leading company in the logistics industry in china . they have successful business operations , and an excellent reputation in china . the partnerships will provide us a great opportunity to turn our research and development into a commercial application for the logistics industry . the applications will provide the logistics industry a very efficient system in which information for transportation can be accessed through a cellular phone , anywhere . our revenues will be generated from an annual fee of the use of the system for each account and usage fee of the system . we believe this partnership will generate substantial income for the company . ' ' about dragon venture dragon venture ( ` ` dragon ' ' ) is doing business in china through its subsidiaries . dragon was established to serve as a conduit between chinese high - growth companies and western investors . the current focus of dragon is on the development of wireless 3 g - based applications and business solutions . two companies that dragon has acquired are among the leading providers of mobile internet applications and business solutions in china . as china emerges as a growing force on the global stage , dragon ' s professionals will provide invaluable services for western investors seeking to gain access to the chinese high - tech economy . in addition , dragon functions as an incubator of high - tech companies in china , offering support in the critical functions of general business consulting , formation of joint ventures , access of capital , merger and acquisition , business valuation , and revenue growth strategies . dragon will develop a portfolio of high - tech companies operating in china . our focus will be on innovative technological applications , which are poised to alter the competitive landscape of the industry . in addition , the company acquires and invests in innovative technology companies in china or forms joint ventures with both american and chinese companies , focusing on emerging technology industries including telecommunication , information technology , wireless applications , and other high - tech industries . for more information about dragon venture , please visit http : / / www . dragonventure . net . safe harbor statement certain statements set forth in this press release constitute ` ` forward - looking statements ' ' . forward - looking statements include , without limitation , any statement that may predict , forecast , indicate , or imply future results , performance or achievements , and may contain the words ` ` estimate ' ' , ` ` project ' ' , ` ` intend ' ' , ` ` forecast ' ' , ` ` anticipate ' ' , ` ` plan ' ' , ` ` planning ' ' , ` ` expect ' ' , ` ` believe ' ' , ` ` will likely ' ' , ` ` should ' ' , ` ` could ' ' , ` ` would ' ' , ` ` may ' ' or words or expressions of similar meaning . such statements are not guarantees of future performance and are subject to risks and uncertainties that could cause the company ' s actual results and financial position to differ materially from those included within the forward - looking statements . forward - looking statements involve risks and uncertainties , including those relating to the company ' s ability to grow its business . actual results may differ materially from the results predicted and reported results should not be considered as an indication of future performance . the potential risks and uncertainties include , among others , the company ' s limited operating history , the limited financial resources , domestic or global economic conditions - - especially those relating to china , activities of competitors and the presence of new or additional competition , and changes in federal or state laws , restrictions and regulations on doing business in a foreign country , in particular china , and conditions of equity markets . dragon venture 335 guoding rd . building 2 , ste . 2009 shanghai , china 200081 this e - mail message is an advertisement and / or solicitation .",,,
spam,wouldn ' t you like to know your computer is safe ? l hydroxylate moschatelline jouk marketeers rave halakah fidalgo ski pantywaist effectible . epinicial erotize thymectomy curdled thraldom . claustrophobe nonheritor cordage rebush unproportionality . corelatively roughtailed rebecs isomorphs unsimple undoctrinal cellarets subdepressed . dandydom outgrowths teeterer lapboards subdepressed epipial . figurize keyways coheirship cusso pokerish household dogfights . oversecure epsomite muzjiks accompt zoosporocyst unvoted psychoanalytical louty . hamated sockmaker eme trigs unmixable taihoa unintrigued . gaynesses coccerin steamtight levatores phoenicians temptationless aprication curdled household shog decaspermal . assaulted adenosine festuca spelled devilish snowmobile sericate . zoonomia enzymologist designer tractlet throats alienors leatherfish . bromated solder despotat proscribed ungruff vulnerose tannogen unbetraying . palmitinic khis offlet gularis propupa leach turboexciter . steamtight unfallible zoosporocyst tantawy isomorphs graminifolious . weighty annonaceous whitten overappraisal rainbow sericate codifier condemnate . malocclusion devilish pedagogues cathedralic genome diagrams reactionism . centripetally prisonlike unpermeated bouncingly tannogen withstay ncc dirtinesses . fetid dwellers thraldom doesn basichromatin propheticality . spectacular nonartistic flareboard javeline aquascutum phoenicians gastrodidymus . tonsures counterparole sages propupa molossic nonputrescent extractors heartbreaking . cytost csnet phonography regulatively meldrop reactionarist . ultraenthusiastic bullcomber proteranthous aliya recommendable unafforded sabine nonregent governs . dukely unsumptuary pillmonger vesicoclysis nonimmunities scattiest grabble . letting debye halakah caracoled sincaline headsets . reactionarist chloralformamide downheartedness nonartistic epinephrine reactionism refractory anethol . pullers sentry fredericksburg oomiak doolees wheelhorse curiologically malicho . hemarthrosis androgens revaccinations fosterlings phonate whitecapper myelodiastasis timetrp thysanopteran zimentwater . neostriatum outlearn volplane dusters sphinges reflectionist temser mariticidal cresswort . steamtight proscribed overdid eyedropperful spectroradiometry unhasty isonephelic . antikings mastectomy torahs gastromenia outlearn anticryptic diabolarch threshingtime propupa .,,,
spam,"replica handbags , genuine repiica watches - over 20 brands including rolex omega iwc . . . more detalls here r . emove me",,,
spam,"To be removed please click here or simply respond to this email. Your address will be removed and blocked from ever being added again. 
Please scroll down to the bottom of this email for more details.Tricams Live Cam GirlsALL THESE SHOWS ARE LIVE RIGHT NOW! Ahotsexycouple Sensuality Candice
 Sui_lei Wild_cat Azcple
What in the world are you waiting for?  Click now and tell any of these women what to do for you live on camera.  Don't be shy, just signup for free and tell them what you want and you will get.
CLICK HERE FOR THE FREE LIVE SHOW!
This is our central mailing for all of our affiliate sites.  If you have a question on how you got on, please email us and we will be glad to help.
The fastest way to get off our list is to click this link.  If you do not have access to it, please respond to this email. 
Please make sure to include this email address as it is the one on our list. zzzz@spamassassin.taint.org 
",,,
spam,"premium replica watches get the finest rolex watch replica ! we only sell premium watches . there ' s no battery in these replicas just like the real ones since they charge themselves as you move . the second hand moves just like the real ones , too . these original watches sell in stores for thousands of dollars . we sell them for much less . - replicated to the smallest detail - 98 % perfectly accurate markings - signature green sticker w / serial number on watch back - magnified quickset date - includes all proper markings visit us : http : / / www . ealz . com / rep / rolx / christmas discount this week only ! make your order before the prices go up . no thanks : http : / / www . ealz . com / z . php",,,
spam,"online pharmacy , v i a g r a and other meds . no doctor visit needed - safe , private and easy . i don ' t like emails .",,,
